DBN,District,School,SAT Score,SAT Test Takers,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
18K576,18,VICTORY COLLEGIATE HIGH SCHOOL,1143,63,39.7,60.6,325,25.0,48.9,0.0,93.5,5.8,0.3,5.2,7.5,6.6,40.6326,-73.9178
18K589,18,ARTS & MEDIA PREPARATORY ACADEMY,1080,48,44.0,67.2,293,20.0,47.4,0.0,89.4,9.6,0.7,3.4,6.7,6.2,40.6585,-73.929
18K617,18,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,1183,37,41.6,63.5,310,19.6,66.5,1.3,85.8,10.6,1.3,8.1,7.2,6.6,40.6418,-73.8987
18K629,18,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,1169,33,43.1,65.9,299,18.4,51.5,0.7,86.6,11.4,1.3,7.7,6.8,6.0,40.6487,-73.9219
18K633,18,HIGH SCHOOL FOR MEDICAL PROFESSIONS,1159,75,28.0,42.8,460,27.0,21.5,0.2,85.0,12.4,1.7,3.3,7.1,6.3,40.6418,-73.8987
18K637,18,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,1111,35,47.1,71.9,274,19.6,54.7,1.5,83.9,12.0,2.2,6.9,7.2,6.1,40.6326,-73.9178
18K642,18,URBAN ACTION ACADEMY,1135,40,42.3,64.6,305,20.6,62.6,3.9,82.3,10.5,2.3,11.1,6.8,6.1,40.6418,-73.8987
19K409,19,EAST NEW YORK FAMILY ACADEMY,1242,54,29.8,45.5,433,19.1,43.2,1.4,67.2,30.3,0.5,0.5,8.1,6.7,40.6606,-73.8863
19K502,19,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,1023,37,33.9,51.7,381,23.5,81.1,1.6,73.8,23.4,1.0,5.0,5.0,5.4,40.6676,-73.8948
19K504,19,HIGH SCHOOL FOR CIVIL RIGHTS,1054,47,3.0,4.5,401,26.2,54.4,1.0,74.3,22.2,2.0,9.7,7.9,6.4,40.6676,-73.8948
19K507,19,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,1149,61,28.5,43.5,453,24.6,51.4,0.0,81.5,17.4,0.7,4.9,7.6,6.5,40.6676,-73.8948
19K510,19,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,1106,68,5.8,5.8,380,24.0,36.8,1.3,81.1,14.2,2.1,4.2,5.8,5.3,40.6676,-73.8948
19K583,19,MULTICULTURAL HIGH SCHOOL,887,29,10.8,10.8,406,23.8,49.8,0.0,0.2,99.8,0.0,94.6,6.1,7.1,40.6911,-73.8684
19K615,19,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1193,182,10.5,12.5,1317,27.0,84.1,1.5,70.5,23.2,4.4,2.4,6.2,5.3,40.6782,-73.876
19K618,19,ACADEMY OF INNOVATIVE TECHNOLOGY,1096,60,31.9,48.8,404,23.3,70.3,3.0,38.4,50.2,7.4,12.1,6.6,6.4,40.6911,-73.8684
19K639,19,BROOKLYN LAB SCHOOL,1108,57,32.5,49.6,397,25.3,58.4,1.3,30.7,65.0,1.5,15.4,4.9,5.6,40.6911,-73.8684
19K659,19,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,1129,51,4.8,4.8,437,23.8,47.8,1.4,16.9,73.2,8.2,16.2,5.7,6.6,40.6911,-73.8684
19K660,19,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1102,74,7.8,7.8,590,25.3,29.8,0.7,71.9,25.4,0.5,5.3,7.0,5.8,40.6742,-73.8965
19K683,19,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",1157,38,41.5,63.3,311,25.8,37.6,0.6,54.3,34.7,10.0,9.0,7.3,6.7,40.6707,-73.8742
20K445,20,NEW UTRECHT HIGH SCHOOL,1272,456,5.3,8.3,3276,27.9,59.3,30.5,5.5,28.0,35.9,23.0,7.8,7.0,40.6134,-74.0037
20K485,20,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,1323,238,19.6,32.3,1280,30.4,53.5,16.8,9.5,54.1,19.2,4.9,8.2,7.0,40.6372,-74.0238
20K490,20,FORT HAMILTON HIGH SCHOOL,1306,694,8.4,13.5,4275,28.3,53.4,34.2,5.0,30.2,30.3,21.2,7.7,7.1,40.6279,-74.04
20K505,20,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,1244,385,7.3,10.9,3108,27.9,58.4,18.6,9.4,27.3,44.2,39.4,7.6,6.8,40.6203,-73.982
20K609,20,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,1223,s,34.5,52.7,374,12.6,0.0,9.1,33.7,21.9,35.0,15.5,7.8,7.7,40.6349,-73.9815
21K337,21,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,1026,54,37.6,57.4,343,17.2,58.9,22.7,14.0,21.0,42.0,89.2,7.5,7.6,40.5936,-73.9847
21K344,21,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,1237,54,7.1,13.3,481,25.9,53.6,37.6,24.1,25.8,12.3,11.0,6.5,6.3,40.5821,-73.9729
21K348,21,HIGH SCHOOL OF SPORTS MANAGEMENT,1164,39,2.7,2.7,370,26.4,88.9,5.9,68.4,23.0,2.7,2.4,7.3,6.0,40.5936,-73.9847
21K410,21,ABRAHAM LINCOLN HIGH SCHOOL,1226,475,5.1,7.4,2595,27.7,56.4,25.1,35.1,20.1,19.3,16.7,7.1,6.0,40.5823,-73.9675
21K468,21,KINGSBOROUGH EARLY COLLEGE SCHOOL,1223,s,27.3,41.7,472,24.6,57.8,44.7,25.0,22.7,7.2,2.8,7.4,6.4,40.5936,-73.9847
21K525,21,EDWARD R. MURROW HIGH SCHOOL,1431,727,9.9,14.3,4022,30.3,42.4,30.8,24.1,17.6,27.1,9.1,7.5,7.0,40.6205,-73.9592
21K540,21,JOHN DEWEY HIGH SCHOOL,1262,448,10.7,17.1,2168,28.4,51.5,10.8,30.6,19.1,39.1,19.6,6.4,6.4,40.5892,-73.9817
21K559,21,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,1124,40,51.4,78.5,251,24.2,51.0,20.3,44.6,29.9,4.8,4.8,6.0,6.2,40.5936,-73.9847
21K572,21,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,1079,40,57.1,87.2,226,21.2,51.3,19.5,19.5,41.2,19.5,21.7,7.4,6.4,40.5936,-73.9847
21K620,21,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1184,95,13.5,20.6,956,25.6,78.0,6.9,74.9,14.0,3.2,3.1,8.3,5.5,40.5825,-73.9637
21K690,21,BROOKLYN STUDIO SECONDARY SCHOOL,1313,119,4.5,4.9,876,26.6,50.1,56.5,7.2,23.1,12.8,8.4,6.4,6.5,40.6049,-73.9944
22K405,22,MIDWOOD HIGH SCHOOL,1473,824,19.4,31.8,3842,32.0,45.3,21.2,35.2,11.7,31.7,3.7,7.4,6.5,40.6333,-73.9529
22K425,22,JAMES MADISON HIGH SCHOOL,1350,518,10.5,15.1,3076,30.5,54.4,46.4,17.9,14.5,20.8,13.2,8.2,6.5,40.6098,-73.9485
22K535,22,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,1627,259,35.9,56.3,1022,31.6,41.2,65.6,9.4,10.8,13.5,0.5,8.1,7.6,40.5808,-73.9361
22K555,22,BROOKLYN COLLEGE ACADEMY,1352,131,20.5,31.3,630,26.3,36.3,2.7,77.9,12.4,5.9,0.2,9.0,7.5,40.6492,-73.9717
23K493,23,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,1185,60,2.6,2.8,580,24.8,50.7,0.5,88.1,8.3,1.9,1.6,7.4,6.1,40.6741,-73.9135
23K514,23,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,1091,55,10.7,11.0,365,23.0,48.5,0.0,88.5,10.4,0.8,1.4,6.9,6.2,40.6658,-73.9117
23K697,23,TEACHERS PREPARATORY HIGH SCHOOL,1196,69,5.8,6.5,566,25.1,34.1,1.2,84.8,13.1,0.7,1.8,6.8,6.4,40.6658,-73.9117
24Q264,24,ACADEMY OF FINANCE AND ENTERPRISE,1280,89,22.6,32.6,420,24.3,49.3,15.2,9.8,56.4,17.9,7.9,7.1,7.3,40.7451,-73.9368
24Q267,24,HIGH SCHOOL OF APPLIED COMMUNICATION,1219,39,11.9,12.4,388,22.1,43.8,16.0,12.9,57.2,13.9,10.3,8.6,6.8,40.7451,-73.9368
24Q293,24,CIVIC LEADERSHIP ACADEMY,1240,69,28.7,43.9,449,23.3,44.5,3.3,9.1,79.3,7.8,9.1,7.0,7.3,40.7433,-73.8706
24Q296,24,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,951,55,35.2,53.8,366,19.7,47.8,0.0,0.0,100.0,0.0,91.3,6.4,7.3,40.7433,-73.8706
24Q299,24,BARD HIGH SCHOOL EARLY COLLEGE II,1663,155,20.4,31.2,631,20.5,39.3,30.3,16.2,21.2,32.0,0.3,8.6,7.9,40.7451,-73.9368
24Q455,24,NEWTOWN HIGH SCHOOL,1203,320,6.8,7.8,2572,27.3,57.5,5.3,9.3,60.3,24.6,30.0,7.2,6.4,40.7412,-73.8747
24Q485,24,GROVER CLEVELAND HIGH SCHOOL,1211,241,9.7,13.2,2069,27.0,55.0,22.7,4.4,63.5,9.1,21.6,7.9,6.4,40.7112,-73.9087
24Q520,24,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,1177,58,26.0,39.6,497,18.5,52.9,11.3,9.5,71.4,7.8,0.2,7.2,7.3,40.7441,-73.9336
24Q530,24,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,1064,69,26.2,40.0,493,17.0,46.0,10.3,2.0,44.0,43.0,76.5,8.8,8.0,40.7441,-73.9336
24Q550,24,HIGH SCHOOL FOR ARTS AND BUSINESS,1174,138,23.9,38.6,828,27.4,43.1,3.0,8.3,79.2,9.1,13.3,7.4,7.0,40.7374,-73.8533
24Q560,24,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",1330,80,21.5,32.8,601,26.5,46.6,10.5,6.2,62.4,20.8,3.8,6.4,7.2,40.7423,-73.9369
24Q600,24,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,1270,155,2.0,2.0,1368,28.5,60.3,8.7,6.9,74.2,10.2,6.4,8.6,6.6,40.7422,-73.9282
24Q610,24,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,1364,396,5.9,6.4,2201,28.2,85.3,10.1,6.8,55.3,27.1,3.2,8.5,6.9,40.7436,-73.9291
25Q252,25,"QUEENS SCHOOL OF INQUIRY, THE",1396,58,22.0,33.6,587,24.6,46.7,18.1,17.0,24.2,40.2,2.7,7.6,7.0,40.7245,-73.8094
25Q263,25,FLUSHING INTERNATIONAL HIGH SCHOOL,1049,45,30.6,46.7,422,19.2,57.3,1.7,1.2,32.7,64.5,88.6,8.3,7.4,40.7604,-73.8184
25Q281,25,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,1271,59,20.9,32.0,616,28.9,54.1,3.4,14.8,17.9,62.7,13.6,6.6,6.7,40.7493,-73.8218
25Q285,25,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,1441,63,10.9,14.6,595,25.0,42.2,51.6,8.4,20.3,19.3,0.8,8.6,6.9,40.7651,-73.7901
25Q425,25,JOHN BOWNE HIGH SCHOOL,1243,558,4.8,6.3,3660,29.4,49.2,5.2,19.2,40.7,34.3,24.7,6.3,6.8,40.7387,-73.8248
25Q460,25,FLUSHING HIGH SCHOOL,1216,347,10.4,13.6,3113,30.0,55.8,3.2,26.5,49.8,19.9,20.0,6.7,5.6,40.7652,-73.8279
25Q525,25,TOWNSEND HARRIS HIGH SCHOOL,1910,278,53.8,69.8,1140,29.4,28.9,24.6,5.9,12.9,55.5,0.0,7.8,7.8,40.7344,-73.8214
25Q670,25,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,1330,99,10.7,15.5,721,30.3,53.8,24.5,11.5,35.4,28.4,7.5,8.0,7.1,40.7256,-73.8107
26Q415,26,BENJAMIN N. CARDOZO HIGH SCHOOL,1514,888,17.3,29.3,3912,31.1,47.4,16.8,18.4,18.6,45.7,6.1,7.2,6.5,40.7524,-73.7561
26Q430,26,FRANCIS LEWIS HIGH SCHOOL,1474,934,16.8,24.9,4152,30.2,49.2,15.5,8.3,24.1,51.9,13.2,8.3,8.8,40.7406,-73.7928
26Q435,26,MARTIN VAN BUREN HIGH SCHOOL,1172,334,3.0,4.2,2390,27.1,54.3,2.9,56.4,15.1,24.1,9.9,5.5,5.0,40.7328,-73.7397
26Q495,26,BAYSIDE HIGH SCHOOL,1449,708,14.5,20.7,3308,32.4,49.4,19.6,12.7,22.3,45.2,5.7,7.9,7.1,40.7719,-73.7804
26Q566,26,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",1279,175,10.8,16.5,1196,29.0,45.8,12.3,46.3,16.8,23.8,2.5,6.1,6.4,40.7449,-73.7269
27Q260,27,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,1145,87,29.0,44.3,445,24.6,52.6,1.3,67.0,27.0,3.8,4.0,5.5,6.0,40.602,-73.7628
27Q262,27,CHANNEL VIEW SCHOOL FOR RESEARCH,1252,74,6.8,10.8,636,26.4,51.1,11.2,55.2,27.5,5.7,1.3,7.6,7.1,40.586,-73.8231
27Q302,27,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",1156,44,41.6,63.5,310,23.3,54.5,4.5,60.3,30.0,4.2,10.6,6.5,6.3,40.602,-73.7628
27Q308,27,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,1265,93,22.3,34.1,578,30.1,48.1,21.8,7.6,42.6,26.8,3.6,7.2,6.6,40.6718,-73.845
27Q309,27,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,1094,36,24.5,37.4,527,23.3,43.8,3.2,52.6,34.2,9.1,10.6,7.9,6.2,40.602,-73.7628
27Q323,27,SCHOLARS' ACADEMY,1532,89,5.2,11.4,1062,25.9,43.9,41.6,19.2,15.9,22.0,0.0,8.2,7.9,40.5841,-73.8257
27Q400,27,AUGUST MARTIN HIGH SCHOOL,1108,101,1.8,2.7,1029,28.8,55.2,1.7,79.9,11.5,6.2,4.3,5.4,5.0,40.6755,-73.7834
27Q475,27,RICHMOND HILL HIGH SCHOOL,1154,404,5.5,6.6,2585,29.9,53.0,3.2,16.8,46.4,32.9,17.4,6.6,6.0,40.6956,-73.8336
27Q480,27,JOHN ADAMS HIGH SCHOOL,1192,403,4.1,5.0,3386,27.3,54.5,3.6,27.7,37.1,27.5,16.0,7.3,6.2,40.6798,-73.8383
27Q650,27,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",1345,194,9.8,11.8,924,26.8,67.3,15.4,11.3,41.6,30.7,0.4,7.1,6.6,40.6894,-73.8406
28Q284,28,YORK EARLY COLLEGE ACADEMY,1223,s,26.4,40.3,489,25.1,51.1,0.6,64.2,10.2,23.5,0.0,7.3,6.6,40.6969,-73.78699999999999
28Q310,28,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,1265,68,24.4,37.2,529,22.5,49.9,3.0,49.0,18.5,27.0,8.1,7.5,6.9,40.7136,-73.7965
28Q325,28,HILLSIDE ARTS & LETTERS ACADEMY,1223,s,64.5,98.5,200,22.8,47.0,6.5,39.0,21.0,28.0,12.5,8.0,6.4,40.7136,-73.7965
28Q440,28,FOREST HILLS HIGH SCHOOL,1407,762,19.1,29.1,3834,31.2,48.1,33.7,9.0,30.2,26.5,8.9,8.1,6.7,40.7294,-73.8456
28Q505,28,HILLCREST HIGH SCHOOL,1194,462,7.8,11.7,3103,28.9,46.1,2.9,36.6,22.8,36.5,15.0,8.4,7.0,40.7088,-73.8021
28Q620,28,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1372,422,8.1,10.8,2252,29.6,65.1,3.2,23.7,21.1,50.9,1.4,7.7,6.7,40.7159,-73.7988
28Q680,28,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,1538,99,11.4,17.4,783,27.6,38.1,2.7,44.8,15.7,36.5,0.1,8.0,6.9,40.7188,-73.8065
28Q686,28,QUEENS METROPOLITAN HIGH SCHOOL,1223,s,19.5,29.7,663,29.6,49.6,40.4,4.8,38.6,12.1,3.6,6.4,6.2,40.7104,-73.8506
28Q687,28,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,1868,121,51.4,80.9,418,26.0,56.5,6.7,10.5,7.9,74.4,0.2,7.4,7.2,40.701,-73.7982
28Q690,28,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,1196,74,3.5,3.5,536,29.3,53.0,1.3,73.7,15.1,8.4,2.1,7.6,6.1,40.6862,-73.7841
28Q896,28,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",1316,68,1.2,1.2,510,21.9,0.0,2.4,57.3,18.4,21.0,2.7,7.2,6.2,40.7082,-73.8041
29Q248,29,QUEENS PREPARATORY ACADEMY,1099,52,3.4,3.4,441,25.7,56.0,0.9,84.4,8.2,5.2,4.5,5.7,6.1,40.6682,-73.7568
29Q259,29,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,1173,46,5.2,12.8,555,25.8,53.3,0.7,94.2,2.9,2.2,2.3,6.0,5.3,40.7064,-73.7535
29Q265,29,EXCELSIOR PREPARATORY HIGH SCHOOL,1202,49,29.1,44.5,443,25.3,56.9,0.5,82.8,9.7,4.3,2.3,7.4,5.7,40.6682,-73.7568
29Q272,29,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,1287,59,3.0,4.4,474,28.3,47.3,1.3,73.8,14.1,9.3,1.7,7.2,5.9,40.6682,-73.7568
29Q283,29,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,1100,43,8.5,9.1,473,23.8,43.1,0.8,84.1,10.4,3.4,1.9,7.9,7.0,40.6682,-73.7568
29Q326,29,CAMBRIA HEIGHTS ACADEMY,1223,s,87.8,134.0,147,22.3,55.1,2.0,87.1,7.5,3.4,2.0,8.6,7.1,40.7118,-73.7712
29Q492,29,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",1220,78,5.3,7.5,412,23.5,60.4,0.7,79.6,11.9,6.8,5.1,6.2,6.0,40.6955,-73.7349
29Q498,29,HUMANITIES & ARTS MAGNET HIGH SCHOOL,1151,62,26.8,41.0,481,28.2,42.8,1.5,85.9,8.5,4.0,3.5,7.4,5.5,40.6955,-73.7349
30Q286,30,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",1223,s,26.1,39.8,495,21.6,0.0,16.2,4.2,40.4,39.2,5.5,7.5,8.1,40.7713,-73.9246
30Q301,30,ACADEMY FOR CAREERS IN TELEVISION AND FILM,1255,98,30.8,47.0,419,22.4,53.2,18.9,20.5,53.5,6.0,2.9,8.1,7.3,40.7411,-73.9497
30Q445,30,WILLIAM CULLEN BRYANT HIGH SCHOOL,1275,395,8.3,11.2,2945,29.3,53.7,14.5,7.3,48.8,28.9,17.9,7.5,6.6,40.7581,-73.9103
30Q450,30,LONG ISLAND CITY HIGH SCHOOL,1218,392,12.0,23.8,3386,25.0,51.3,12.5,11.4,62.7,13.2,13.2,6.6,5.6,40.7658,-73.9327
30Q501,30,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,1494,174,14.3,18.0,756,27.9,30.0,46.3,16.9,27.2,8.7,0.1,7.3,7.0,40.7565,-73.9251
30Q502,30,INFORMATION TECHNOLOGY HIGH SCHOOL,1239,148,5.6,8.1,917,26.8,71.8,9.4,18.1,56.6,15.6,9.6,7.0,6.5,40.7479,-73.9466
30Q555,30,NEWCOMERS HIGH SCHOOL,1127,143,12.8,17.5,932,27.0,53.2,2.6,5.6,43.5,48.3,90.3,8.1,7.4,40.7514,-73.9374
30Q575,30,ACADEMY OF AMERICAN STUDIES,1470,135,14.3,24.1,704,31.1,45.0,29.4,6.8,34.7,29.1,5.7,7.2,6.8,40.7513,-73.9374
30Q580,30,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,1636,61,29.3,44.8,440,20.5,44.8,37.3,3.2,24.3,34.8,0.0,8.2,8.0,40.7552,-73.9268
31R047,31,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,1353,137,24.2,37.0,532,25.7,41.5,58.5,12.0,17.9,11.5,0.2,7.2,6.9,40.582,-74.1578
31R064,31,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,1195,61,31.6,48.3,408,24.3,52.0,60.0,15.7,17.6,5.9,1.0,6.1,6.4,40.582,-74.1578
31R080,31,THE MICHAEL J. PETRIDES SCHOOL,1426,107,12.4,18.6,1308,30.3,49.2,55.9,18.8,16.9,8.1,1.6,7.0,6.7,40.6075,-74.1015
31R440,31,NEW DORP HIGH SCHOOL,1277,391,3.6,4.4,2658,28.2,52.5,53.3,12.1,27.3,7.0,5.9,7.6,6.1,40.5692,-74.1073
31R445,31,PORT RICHMOND HIGH SCHOOL,1279,271,9.0,14.1,2151,28.1,54.8,24.2,30.9,37.6,6.8,5.3,6.7,5.2,40.6338,-74.1421
31R450,31,CURTIS HIGH SCHOOL,1301,375,9.7,11.6,2552,27.3,46.4,21.8,38.4,31.9,7.3,6.1,7.0,6.0,40.6447,-74.0813
31R455,31,TOTTENVILLE HIGH SCHOOL,1418,807,10.2,17.7,3875,30.2,49.6,82.1,2.1,9.9,5.4,1.4,7.7,7.1,40.5282,-74.1922
31R460,31,SUSAN E. WAGNER HIGH SCHOOL,1388,535,8.6,12.6,3243,29.2,50.8,49.4,11.3,24.1,14.6,3.4,7.5,6.7,40.5987,-74.1231
31R600,31,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1235,94,19.1,29.2,675,28.3,67.1,21.6,40.3,33.2,4.6,3.6,6.4,6.0,40.6427,-74.0787
31R605,31,STATEN ISLAND TECHNICAL HIGH SCHOOL,1953,227,47.8,82.0,1104,29.6,57.0,61.3,1.1,5.3,31.8,0.1,8.9,8.2,40.5679,-74.1154
32K403,32,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,1098,50,35.6,54.4,362,22.4,50.0,0.8,21.0,77.1,0.6,32.9,6.1,5.8,40.696999999999996,-73.9108
32K545,32,EBC HIGH SCHOOL FOR PUBLIC SERVICEâ€“BUSHWICK,1154,88,7.8,10.6,606,23.0,52.1,0.7,9.2,88.1,1.7,15.3,5.8,6.4,40.6945,-73.9292
32K549,32,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,1035,75,29.7,45.4,434,22.8,48.4,1.8,28.3,68.7,0.5,18.2,7.3,6.5,40.696999999999996,-73.9108
32K552,32,ACADEMY OF URBAN PLANNING,1060,67,19.1,25.1,398,23.9,54.5,1.0,26.4,70.4,1.5,23.9,6.4,6.4,40.696999999999996,-73.9108
32K554,32,ALL CITY LEADERSHIP SECONDARY SCHOOL,1315,39,2.7,3.0,263,17.8,52.1,1.5,12.9,79.5,5.3,2.7,9.6,8.9,40.6974,-73.9132
32K556,32,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,1055,23,7.4,7.6,462,25.1,53.2,0.0,21.2,77.3,0.9,18.2,7.1,6.6,40.695,-73.928
